Box,Treatment,Block,Leaf,Leaflet,Direction,Te,Tu
1,10Te10Tu,1,2,1,Down,4,1
1,10Te10Tu,1,2,2,Down,2,2
1,10Te10Tu,1,2,3,Down,1,5
1,10Te10Tu,1,2,1,Up,6,1
1,10Te10Tu,1,2,2,Up,6,12
1,10Te10Tu,1,2,3,Up,3,6
1,10Te10Tu,1,3,1,Down,0,1
1,10Te10Tu,1,3,2,Down,0,2
1,10Te10Tu,1,3,3,Down,4,0
1,10Te10Tu,1,3,4,Down,0,2
1,10Te10Tu,1,3,5,Down,4,2
1,10Te10Tu,1,3,1,Up,0,4
1,10Te10Tu,1,3,2,Up,0,16
1,10Te10Tu,1,3,3,Up,11,3
1,10Te10Tu,1,3,4,Up,2,13
1,10Te10Tu,1,3,5,Up,1,8
1,10Te10Tu,1,4,1,Down,1,1
1,10Te10Tu,1,4,2,Down,10,1
1,10Te10Tu,1,4,3,Down,9,3
1,10Te10Tu,1,4,4,Down,4,3
1,10Te10Tu,1,4,5,Down,8,1
1,10Te10Tu,1,4,1,Up,1,1
1,10Te10Tu,1,4,2,Up,11,4
1,10Te10Tu,1,4,3,Up,7,2
1,10Te10Tu,1,4,4,Up,3,0
1,10Te10Tu,1,4,5,Up,26,11
1,10Te10Tu,1,5,1,Down,0,0
1,10Te10Tu,1,5,2,Down,0,1
1,10Te10Tu,1,5,3,Down,1,1
1,10Te10Tu,1,5,4,Down,0,1
1,10Te10Tu,1,5,5,Down,0,1
1,10Te10Tu,1,5,1,Up,0,1
1,10Te10Tu,1,5,2,Up,1,3
1,10Te10Tu,1,5,3,Up,2,11
1,10Te10Tu,1,5,4,Up,4,3
1,10Te10Tu,1,5,5,Up,0,1
2,10Te10Tu,1,2,1,Down,4,4
2,10Te10Tu,1,2,2,Down,4,4
2,10Te10Tu,1,2,3,Down,0,0
2,10Te10Tu,1,2,1,Up,7,14
2,10Te10Tu,1,2,2,Up,29,5
2,10Te10Tu,1,2,3,Up,24,3
2,10Te10Tu,1,3,1,Down,3,0
2,10Te10Tu,1,3,2,Down,3,1
2,10Te10Tu,1,3,3,Down,3,3
2,10Te10Tu,1,3,4,Down,3,15
2,10Te10Tu,1,3,5,Down,0,1
2,10Te10Tu,1,3,1,Up,6,0
2,10Te10Tu,1,3,2,Up,13,0
2,10Te10Tu,1,3,3,Up,1,13
2,10Te10Tu,1,3,4,Up,7,0
2,10Te10Tu,1,3,5,Up,0,1
2,10Te10Tu,1,4,1,Down,4,6
2,10Te10Tu,1,4,2,Down,2,3
2,10Te10Tu,1,4,3,Down,1,3
2,10Te10Tu,1,4,4,Down,0,1
2,10Te10Tu,1,4,5,Down,1,4
2,10Te10Tu,1,4,1,Up,27,17
2,10Te10Tu,1,4,2,Up,21,5
2,10Te10Tu,1,4,3,Up,28,8
2,10Te10Tu,1,4,4,Up,10,5
2,10Te10Tu,1,4,5,Up,8,2
2,10Te10Tu,1,5,1,Down,2,0
2,10Te10Tu,1,5,2,Down,4,0
2,10Te10Tu,1,5,3,Down,1,0
2,10Te10Tu,1,5,4,Down,2,0
2,10Te10Tu,1,5,5,Down,1,0
2,10Te10Tu,1,5,1,Up,2,0
2,10Te10Tu,1,5,2,Up,4,0
2,10Te10Tu,1,5,3,Up,6,0
2,10Te10Tu,1,5,4,Up,4,0
2,10Te10Tu,1,5,5,Up,2,1
3,10Te10Tu,1,2,1,Down,4,4
3,10Te10Tu,1,2,2,Down,7,3
3,10Te10Tu,1,2,3,Down,4,1
3,10Te10Tu,1,2,1,Up,0,12
3,10Te10Tu,1,2,2,Up,2,4
3,10Te10Tu,1,2,3,Up,2,0
3,10Te10Tu,1,3,1,Down,0,3
3,10Te10Tu,1,3,2,Down,0,0
3,10Te10Tu,1,3,3,Down,4,2
3,10Te10Tu,1,3,4,Down,2,2
3,10Te10Tu,1,3,1,Up,1,4
3,10Te10Tu,1,3,2,Up,0,0
3,10Te10Tu,1,3,3,Up,13,11
3,10Te10Tu,1,3,4,Up,2,10
3,10Te10Tu,1,4,1,Down,2,3
3,10Te10Tu,1,4,2,Down,0,3
3,10Te10Tu,1,4,3,Down,15,2
3,10Te10Tu,1,4,4,Down,0,0
3,10Te10Tu,1,4,5,Down,0,1
3,10Te10Tu,1,4,1,Up,6,11
3,10Te10Tu,1,4,2,Up,5,4
3,10Te10Tu,1,4,3,Up,16,4
3,10Te10Tu,1,4,4,Up,0,0
3,10Te10Tu,1,4,5,Up,0,5
3,10Te10Tu,1,5,1,Down,3,3
3,10Te10Tu,1,5,2,Down,2,2
3,10Te10Tu,1,5,3,Down,2,0
3,10Te10Tu,1,5,4,Down,2,0
3,10Te10Tu,1,5,5,Down,0,0
3,10Te10Tu,1,5,1,Up,6,13
3,10Te10Tu,1,5,2,Up,9,10
3,10Te10Tu,1,5,3,Up,4,4
3,10Te10Tu,1,5,4,Up,2,10
3,10Te10Tu,1,5,5,Up,2,2
4,10Te10Tu,1,2,1,Down,2,1
4,10Te10Tu,1,2,2,Down,15,9
4,10Te10Tu,1,2,3,Down,5,1
4,10Te10Tu,1,2,1,Up,0,3
4,10Te10Tu,1,2,2,Up,27,20
4,10Te10Tu,1,2,3,Up,0,0
4,10Te10Tu,1,3,1,Down,0,0
4,10Te10Tu,1,3,2,Down,4,4
4,10Te10Tu,1,3,3,Down,4,4
4,10Te10Tu,1,3,4,Down,4,4
4,10Te10Tu,1,3,5,Down,1,1
4,10Te10Tu,1,3,1,Up,1,0
4,10Te10Tu,1,3,2,Up,4,0
4,10Te10Tu,1,3,3,Up,13,0
4,10Te10Tu,1,3,4,Up,2,2
4,10Te10Tu,1,3,5,Up,5,3
4,10Te10Tu,1,4,1,Down,0,6
4,10Te10Tu,1,4,2,Down,0,1
4,10Te10Tu,1,4,3,Down,9,3
4,10Te10Tu,1,4,4,Down,5,1
4,10Te10Tu,1,4,5,Down,0,0
4,10Te10Tu,1,4,1,Up,7,7
4,10Te10Tu,1,4,2,Up,1,4
4,10Te10Tu,1,4,3,Up,24,9
4,10Te10Tu,1,4,4,Up,21,9
4,10Te10Tu,1,4,5,Up,18,5
4,10Te10Tu,1,5,1,Down,2,3
4,10Te10Tu,1,5,2,Down,12,1
4,10Te10Tu,1,5,3,Down,18,3
4,10Te10Tu,1,5,4,Down,16,1
4,10Te10Tu,1,5,5,Down,6,4
4,10Te10Tu,1,5,1,Up,26,5
4,10Te10Tu,1,5,2,Up,32,1
4,10Te10Tu,1,5,3,Up,14,5
4,10Te10Tu,1,5,4,Up,7,2
4,10Te10Tu,1,5,5,Up,9,1
5,10Te10Tu,1,2,1,Down,2,1
5,10Te10Tu,1,2,2,Down,52,0
5,10Te10Tu,1,2,3,Down,0,0
5,10Te10Tu,1,2,1,Up,0,2
5,10Te10Tu,1,2,2,Up,22,1
5,10Te10Tu,1,2,3,Up,1,2
5,10Te10Tu,1,3,1,Down,2,0
5,10Te10Tu,1,3,2,Down,12,3
5,10Te10Tu,1,3,3,Down,5,3
5,10Te10Tu,1,3,4,Down,1,1
5,10Te10Tu,1,3,5,Down,0,0
5,10Te10Tu,1,3,1,Up,0,0
5,10Te10Tu,1,3,2,Up,16,2
5,10Te10Tu,1,3,3,Up,0,7
5,10Te10Tu,1,3,4,Up,9,4
5,10Te10Tu,1,3,5,Up,9,1
5,10Te10Tu,1,4,1,Down,2,0
5,10Te10Tu,1,4,2,Down,0,0
5,10Te10Tu,1,4,3,Down,3,1
5,10Te10Tu,1,4,4,Down,0,0
5,10Te10Tu,1,4,5,Down,6,2
5,10Te10Tu,1,4,1,Up,3,2
5,10Te10Tu,1,4,2,Up,0,0
5,10Te10Tu,1,4,3,Up,11,2
5,10Te10Tu,1,4,4,Up,0,0
5,10Te10Tu,1,4,5,Up,17,6
5,10Te10Tu,1,5,1,Down,3,2
5,10Te10Tu,1,5,2,Down,2,0
5,10Te10Tu,1,5,3,Down,0,0
5,10Te10Tu,1,5,4,Down,2,0
5,10Te10Tu,1,5,5,Down,2,1
5,10Te10Tu,1,5,1,Up,2,4
5,10Te10Tu,1,5,2,Up,1,0
5,10Te10Tu,1,5,3,Up,2,2
5,10Te10Tu,1,5,4,Up,13,0
5,10Te10Tu,1,5,5,Up,2,1
6,10Te10Tu,2,2,1,Down,7,3
6,10Te10Tu,2,2,2,Down,1,1
6,10Te10Tu,2,2,3,Down,12,3
6,10Te10Tu,2,2,1,Up,10,2
6,10Te10Tu,2,2,2,Up,2,10
6,10Te10Tu,2,2,3,Up,0,1
6,10Te10Tu,2,3,1,Down,0,0
6,10Te10Tu,2,3,2,Down,4,0
6,10Te10Tu,2,3,3,Down,0,1
6,10Te10Tu,2,3,4,Down,0,0
6,10Te10Tu,2,3,5,Down,7,4
6,10Te10Tu,2,3,1,Up,0,0
6,10Te10Tu,2,3,2,Up,1,0
6,10Te10Tu,2,3,3,Up,0,1
6,10Te10Tu,2,3,4,Up,3,3
6,10Te10Tu,2,3,5,Up,13,4
6,10Te10Tu,2,4,1,Down,18,2
6,10Te10Tu,2,4,2,Down,16,0
6,10Te10Tu,2,4,3,Down,3,3
6,10Te10Tu,2,4,4,Down,7,2
6,10Te10Tu,2,4,5,Down,18,2
6,10Te10Tu,2,4,1,Up,6,0
6,10Te10Tu,2,4,2,Up,25,5
6,10Te10Tu,2,4,3,Up,4,5
6,10Te10Tu,2,4,4,Up,33,4
6,10Te10Tu,2,4,5,Up,32,9
6,10Te10Tu,2,5,1,Down,0,3
6,10Te10Tu,2,5,2,Down,3,0
6,10Te10Tu,2,5,3,Down,1,1
6,10Te10Tu,2,5,4,Down,0,3
6,10Te10Tu,2,5,5,Down,0,0
6,10Te10Tu,2,5,1,Up,16,13
6,10Te10Tu,2,5,2,Up,4,14
6,10Te10Tu,2,5,3,Up,1,8
6,10Te10Tu,2,5,4,Up,0,4
6,10Te10Tu,2,5,5,Up,7,9
7,10Te10Tu,2,2,1,Down,0,3
7,10Te10Tu,2,2,2,Down,4,6
7,10Te10Tu,2,2,3,Down,0,2
7,10Te10Tu,2,2,1,Up,0,0
7,10Te10Tu,2,2,2,Up,3,11
7,10Te10Tu,2,2,3,Up,1,1
7,10Te10Tu,2,3,1,Down,0,3
7,10Te10Tu,2,3,2,Down,3,0
7,10Te10Tu,2,3,3,Down,5,3
7,10Te10Tu,2,3,4,Down,0,4
7,10Te10Tu,2,3,5,Down,0,0
7,10Te10Tu,2,3,1,Up,0,10
7,10Te10Tu,2,3,2,Up,3,3
7,10Te10Tu,2,3,3,Up,11,8
7,10Te10Tu,2,3,4,Up,5,21
7,10Te10Tu,2,3,5,Up,0,5
7,10Te10Tu,2,4,1,Down,6,2
7,10Te10Tu,2,4,2,Down,4,0
7,10Te10Tu,2,4,3,Down,15,5
7,10Te10Tu,2,4,4,Down,0,0
7,10Te10Tu,2,4,5,Down,0,0
7,10Te10Tu,2,4,1,Up,5,7
7,10Te10Tu,2,4,2,Up,3,1
7,10Te10Tu,2,4,3,Up,16,17
7,10Te10Tu,2,4,4,Up,25,4
7,10Te10Tu,2,4,5,Up,9,2
7,10Te10Tu,2,5,1,Down,0,1
7,10Te10Tu,2,5,2,Down,0,6
7,10Te10Tu,2,5,3,Down,10,2
7,10Te10Tu,2,5,4,Down,7,2
7,10Te10Tu,2,5,5,Down,0,3
7,10Te10Tu,2,5,1,Up,0,18
7,10Te10Tu,2,5,2,Up,2,21
7,10Te10Tu,2,5,3,Up,2,3
7,10Te10Tu,2,5,4,Up,5,13
7,10Te10Tu,2,5,5,Up,1,11
8,10Te10Tu,2,2,1,Down,16,1
8,10Te10Tu,2,2,2,Down,4,9
8,10Te10Tu,2,2,3,Down,1,2
8,10Te10Tu,2,2,1,Up,11,4
8,10Te10Tu,2,2,2,Up,5,7
8,10Te10Tu,2,2,3,Up,3,3
8,10Te10Tu,2,3,1,Down,0,1
8,10Te10Tu,2,3,2,Down,15,0
8,10Te10Tu,2,3,3,Down,8,1
8,10Te10Tu,2,3,4,Down,2,0
8,10Te10Tu,2,3,5,Down,1,0
8,10Te10Tu,2,3,1,Up,2,7
8,10Te10Tu,2,3,2,Up,13,1
8,10Te10Tu,2,3,3,Up,12,3
8,10Te10Tu,2,3,4,Up,3,0
8,10Te10Tu,2,3,5,Up,0,0
8,10Te10Tu,2,4,1,Down,0,5
8,10Te10Tu,2,4,2,Down,0,0
8,10Te10Tu,2,4,3,Down,27,3
8,10Te10Tu,2,4,4,Down,54,1
8,10Te10Tu,2,4,5,Down,5,8
8,10Te10Tu,2,4,1,Up,4,15
8,10Te10Tu,2,4,2,Up,17,9
8,10Te10Tu,2,4,3,Up,88,9
8,10Te10Tu,2,4,4,Up,87,11
8,10Te10Tu,2,4,5,Up,14,29
8,10Te10Tu,2,5,1,Down,2,0
8,10Te10Tu,2,5,2,Down,4,9
8,10Te10Tu,2,5,3,Down,2,11
8,10Te10Tu,2,5,4,Down,3,2
8,10Te10Tu,2,5,5,Down,0,10
8,10Te10Tu,2,5,1,Up,10,6
8,10Te10Tu,2,5,2,Up,8,12
8,10Te10Tu,2,5,3,Up,2,15
8,10Te10Tu,2,5,4,Up,5,16
8,10Te10Tu,2,5,5,Up,1,46
9,10Te10Tu,2,2,1,Down,2,0
9,10Te10Tu,2,2,2,Down,18,0
9,10Te10Tu,2,2,3,Down,3,1
9,10Te10Tu,2,2,1,Up,0,0
9,10Te10Tu,2,2,2,Up,4,4
9,10Te10Tu,2,2,3,Up,5,7
9,10Te10Tu,2,3,1,Down,1,4
9,10Te10Tu,2,3,2,Down,12,7
9,10Te10Tu,2,3,3,Down,20,1
9,10Te10Tu,2,3,4,Down,10,9
9,10Te10Tu,2,3,5,Down,2,3
9,10Te10Tu,2,3,1,Up,0,14
9,10Te10Tu,2,3,2,Up,38,22
9,10Te10Tu,2,3,3,Up,37,3
9,10Te10Tu,2,3,4,Up,27,31
9,10Te10Tu,2,3,5,Up,3,23
9,10Te10Tu,2,4,1,Down,43,1
9,10Te10Tu,2,4,2,Down,7,0
9,10Te10Tu,2,4,3,Down,0,0
9,10Te10Tu,2,4,4,Down,13,0
9,10Te10Tu,2,4,5,Down,4,2
9,10Te10Tu,2,4,1,Up,102,6
9,10Te10Tu,2,4,2,Up,19,5
9,10Te10Tu,2,4,3,Up,0,0
9,10Te10Tu,2,4,4,Up,14,0
9,10Te10Tu,2,4,5,Up,6,8
9,10Te10Tu,2,5,1,Down,0,1
9,10Te10Tu,2,5,2,Down,3,2
9,10Te10Tu,2,5,3,Down,12,2
9,10Te10Tu,2,5,4,Down,0,0
9,10Te10Tu,2,5,5,Down,0,0
9,10Te10Tu,2,5,1,Up,1,10
9,10Te10Tu,2,5,2,Up,14,14
9,10Te10Tu,2,5,3,Up,17,17
9,10Te10Tu,2,5,4,Up,0,3
9,10Te10Tu,2,5,5,Up,0,3
10,10Te10Tu,2,2,1,Down,1,0
10,10Te10Tu,2,2,2,Down,0,6
10,10Te10Tu,2,2,3,Down,4,13
10,10Te10Tu,2,2,1,Up,3,1
10,10Te10Tu,2,2,2,Up,3,2
10,10Te10Tu,2,2,3,Up,10,2
10,10Te10Tu,2,3,1,Down,0,0
10,10Te10Tu,2,3,2,Down,1,12
10,10Te10Tu,2,3,3,Down,5,2
10,10Te10Tu,2,3,4,Down,0,5
10,10Te10Tu,2,3,5,Down,0,2
10,10Te10Tu,2,3,1,Up,3,2
10,10Te10Tu,2,3,2,Up,4,10
10,10Te10Tu,2,3,3,Up,15,10
10,10Te10Tu,2,3,4,Up,8,11
10,10Te10Tu,2,3,5,Up,2,15
10,10Te10Tu,2,4,1,Down,4,0
10,10Te10Tu,2,4,2,Down,1,0
10,10Te10Tu,2,4,3,Down,1,5
10,10Te10Tu,2,4,4,Down,0,0
10,10Te10Tu,2,4,5,Down,0,0
10,10Te10Tu,2,4,1,Up,1,0
10,10Te10Tu,2,4,2,Up,8,3
10,10Te10Tu,2,4,3,Up,12,6
10,10Te10Tu,2,4,4,Up,2,0
10,10Te10Tu,2,4,5,Up,6,2
10,10Te10Tu,2,5,1,Down,0,0
10,10Te10Tu,2,5,2,Down,0,2
10,10Te10Tu,2,5,3,Down,0,3
10,10Te10Tu,2,5,4,Down,0,10
10,10Te10Tu,2,5,5,Down,1,2
10,10Te10Tu,2,5,1,Up,0,1
10,10Te10Tu,2,5,2,Up,2,10
10,10Te10Tu,2,5,3,Up,0,11
10,10Te10Tu,2,5,4,Up,1,10
10,10Te10Tu,2,5,5,Up,3,4
1,10Te10Tu48h,1,2,1,Down,0,0
1,10Te10Tu48h,1,2,2,Down,0,0
1,10Te10Tu48h,1,2,3,Down,0,0
1,10Te10Tu48h,1,2,1,Up,0,0
1,10Te10Tu48h,1,2,2,Up,0,0
1,10Te10Tu48h,1,2,3,Up,0,0
1,10Te10Tu48h,1,3,1,Down,0,0
1,10Te10Tu48h,1,3,2,Down,0,1
1,10Te10Tu48h,1,3,3,Down,1,5
1,10Te10Tu48h,1,3,4,Down,1,4
1,10Te10Tu48h,1,3,5,Down,1,1
1,10Te10Tu48h,1,3,1,Up,8,10
1,10Te10Tu48h,1,3,2,Up,0,3
1,10Te10Tu48h,1,3,3,Up,7,20
1,10Te10Tu48h,1,3,4,Up,1,13
1,10Te10Tu48h,1,3,5,Up,1,9
1,10Te10Tu48h,1,4,1,Down,6,0
1,10Te10Tu48h,1,4,2,Down,0,0
1,10Te10Tu48h,1,4,3,Down,6,0
1,10Te10Tu48h,1,4,4,Down,1,0
1,10Te10Tu48h,1,4,5,Down,2,2
1,10Te10Tu48h,1,4,1,Up,16,11
1,10Te10Tu48h,1,4,2,Up,5,1
1,10Te10Tu48h,1,4,3,Up,7,0
1,10Te10Tu48h,1,4,4,Up,3,0
1,10Te10Tu48h,1,4,5,Up,29,2
1,10Te10Tu48h,1,5,1,Down,0,2
1,10Te10Tu48h,1,5,2,Down,0,5
1,10Te10Tu48h,1,5,3,Down,0,6
1,10Te10Tu48h,1,5,4,Down,0,2
1,10Te10Tu48h,1,5,5,Down,10,4
1,10Te10Tu48h,1,5,1,Up,1,6
1,10Te10Tu48h,1,5,2,Up,2,2
1,10Te10Tu48h,1,5,3,Up,2,0
1,10Te10Tu48h,1,5,4,Up,1,5
1,10Te10Tu48h,1,5,5,Up,5,16
2,10Te10Tu48h,1,2,1,Down,0,0
2,10Te10Tu48h,1,2,2,Down,3,4
2,10Te10Tu48h,1,2,3,Down,0,3
2,10Te10Tu48h,1,2,1,Up,0,0
2,10Te10Tu48h,1,2,2,Up,3,16
2,10Te10Tu48h,1,2,3,Up,3,4
2,10Te10Tu48h,1,3,1,Down,3,4
2,10Te10Tu48h,1,3,2,Down,2,6
2,10Te10Tu48h,1,3,3,Down,3,1
2,10Te10Tu48h,1,3,4,Down,1,1
2,10Te10Tu48h,1,3,5,Down,2,0
2,10Te10Tu48h,1,3,1,Up,0,0
2,10Te10Tu48h,1,3,2,Up,12,6
2,10Te10Tu48h,1,3,3,Up,3,0
2,10Te10Tu48h,1,3,4,Up,2,1
2,10Te10Tu48h,1,3,5,Up,6,4
2,10Te10Tu48h,1,4,1,Down,0,0
2,10Te10Tu48h,1,4,2,Down,0,0
2,10Te10Tu48h,1,4,3,Down,1,1
2,10Te10Tu48h,1,4,4,Down,1,6
2,10Te10Tu48h,1,4,5,Down,0,2
2,10Te10Tu48h,1,4,1,Up,1,2
2,10Te10Tu48h,1,4,2,Up,0,0
2,10Te10Tu48h,1,4,3,Up,1,3
2,10Te10Tu48h,1,4,4,Up,6,7
2,10Te10Tu48h,1,4,5,Up,0,0
2,10Te10Tu48h,1,5,1,Down,0,0
2,10Te10Tu48h,1,5,2,Down,0,0
2,10Te10Tu48h,1,5,3,Down,0,0
2,10Te10Tu48h,1,5,4,Down,0,0
2,10Te10Tu48h,1,5,1,Up,1,1
2,10Te10Tu48h,1,5,2,Up,0,0
2,10Te10Tu48h,1,5,3,Up,0,1
2,10Te10Tu48h,1,5,4,Up,3,1
3,10Te10Tu48h,1,2,1,Down,0,0
3,10Te10Tu48h,1,2,2,Down,5,5
3,10Te10Tu48h,1,2,3,Down,1,5
3,10Te10Tu48h,1,2,1,Up,0,0
3,10Te10Tu48h,1,2,2,Up,5,6
3,10Te10Tu48h,1,2,3,Up,7,8
3,10Te10Tu48h,1,3,1,Down,4,5
3,10Te10Tu48h,1,3,2,Down,0,0
3,10Te10Tu48h,1,3,3,Down,1,0
3,10Te10Tu48h,1,3,4,Down,4,3
3,10Te10Tu48h,1,3,5,Down,3,12
3,10Te10Tu48h,1,3,1,Up,15,5
3,10Te10Tu48h,1,3,2,Up,3,0
3,10Te10Tu48h,1,3,3,Up,3,11
3,10Te10Tu48h,1,3,4,Up,1,5
3,10Te10Tu48h,1,3,5,Up,5,0
3,10Te10Tu48h,1,4,1,Down,0,0
3,10Te10Tu48h,1,4,2,Down,12,1
3,10Te10Tu48h,1,4,3,Down,5,2
3,10Te10Tu48h,1,4,4,Down,7,1
3,10Te10Tu48h,1,4,5,Down,2,2
3,10Te10Tu48h,1,4,1,Up,13,1
3,10Te10Tu48h,1,4,2,Up,20,3
3,10Te10Tu48h,1,4,3,Up,10,12
3,10Te10Tu48h,1,4,4,Up,2,3
3,10Te10Tu48h,1,4,5,Up,5,4
3,10Te10Tu48h,1,5,1,Down,0,11
3,10Te10Tu48h,1,5,2,Down,1,8
3,10Te10Tu48h,1,5,3,Down,3,6
3,10Te10Tu48h,1,5,4,Down,6,11
3,10Te10Tu48h,1,5,5,Down,0,10
3,10Te10Tu48h,1,5,1,Up,2,63
3,10Te10Tu48h,1,5,2,Up,3,23
3,10Te10Tu48h,1,5,3,Up,3,8
3,10Te10Tu48h,1,5,4,Up,0,22
3,10Te10Tu48h,1,5,5,Up,0,15
4,10Te10Tu48h,1,2,1,Down,0,3
4,10Te10Tu48h,1,2,2,Down,6,24
4,10Te10Tu48h,1,2,3,Down,2,2
4,10Te10Tu48h,1,2,1,Up,2,7
4,10Te10Tu48h,1,2,2,Up,2,37
4,10Te10Tu48h,1,2,3,Up,5,3
4,10Te10Tu48h,1,3,1,Down,6,2
4,10Te10Tu48h,1,3,2,Down,0,0
4,10Te10Tu48h,1,3,3,Down,7,3
4,10Te10Tu48h,1,3,4,Down,0,0
4,10Te10Tu48h,1,3,5,Down,2,2
4,10Te10Tu48h,1,3,1,Up,12,7
4,10Te10Tu48h,1,3,2,Up,0,0
4,10Te10Tu48h,1,3,3,Up,8,8
4,10Te10Tu48h,1,3,4,Up,0,0
4,10Te10Tu48h,1,3,5,Up,12,8
4,10Te10Tu48h,1,4,1,Down,0,7
4,10Te10Tu48h,1,4,2,Down,1,1
4,10Te10Tu48h,1,4,3,Down,3,6
4,10Te10Tu48h,1,4,4,Down,8,2
4,10Te10Tu48h,1,4,5,Down,0,0
4,10Te10Tu48h,1,4,1,Up,1,25
4,10Te10Tu48h,1,4,2,Up,3,31
4,10Te10Tu48h,1,4,3,Up,8,24
4,10Te10Tu48h,1,4,4,Up,5,38
4,10Te10Tu48h,1,4,5,Up,4,7
4,10Te10Tu48h,1,5,1,Down,0,0
4,10Te10Tu48h,1,5,2,Down,0,0
4,10Te10Tu48h,1,5,3,Down,0,0
4,10Te10Tu48h,1,5,4,Down,0,0
4,10Te10Tu48h,1,5,5,Down,0,0
4,10Te10Tu48h,1,5,1,Up,0,0
4,10Te10Tu48h,1,5,2,Up,0,0
4,10Te10Tu48h,1,5,3,Up,0,0
4,10Te10Tu48h,1,5,4,Up,0,0
4,10Te10Tu48h,1,5,5,Up,0,0
5,10Te10Tu48h,1,2,1,Down,0,0
5,10Te10Tu48h,1,2,2,Down,4,2
5,10Te10Tu48h,1,2,3,Down,6,4
5,10Te10Tu48h,1,2,1,Up,2,2
5,10Te10Tu48h,1,2,2,Up,6,2
5,10Te10Tu48h,1,2,3,Up,0,9
5,10Te10Tu48h,1,3,1,Down,1,0
5,10Te10Tu48h,1,3,2,Down,0,1
5,10Te10Tu48h,1,3,3,Down,0,0
5,10Te10Tu48h,1,3,4,Down,0,0
5,10Te10Tu48h,1,3,5,Down,1,6
5,10Te10Tu48h,1,3,1,Up,0,9
5,10Te10Tu48h,1,3,2,Up,0,0
5,10Te10Tu48h,1,3,3,Up,1,0
5,10Te10Tu48h,1,3,4,Up,0,2
5,10Te10Tu48h,1,3,5,Up,1,1
5,10Te10Tu48h,1,4,1,Down,0,0
5,10Te10Tu48h,1,4,2,Down,0,0
5,10Te10Tu48h,1,4,3,Down,0,0
5,10Te10Tu48h,1,4,4,Down,3,1
