Treatment,Sample_code,Actin,PI-IIc,PPO-D,PR-1a
Santpoort,CMS1.1,23.63161008,27.3663616,31.2961357,22.2333566
Santpoort,CMS1.1,23.59291523,27.2455716,31.410994,22.1460093
Santpoort,CMS1.1,23.64858203,27.271276,31.4653883,22.2294808
Santpoort,CMS1.2,22.86718281,26.8184421,30.0963056,20.3666392
Santpoort,CMS1.2,23.06674108,26.8461369,30.0857479,20.4792829
Santpoort,CMS1.2,22.88935817,26.7319601,30.2036216,20.3287918
Santpoort,CMS1.3,22.9337003,32.2960527,32.8904381,22.2116203
Santpoort,CMS1.3,22.90716929,32.2522533,32.8857314,22.2080527
Santpoort,CMS1.3,23.02502719,32.1686656,32.9119052,22.1976874
Santpoort,CMS2.1,22.50449138,30.784093,31.047958,23.2737606
Santpoort,CMS2.1,22.446144,30.5845599,30.9945943,23.2850554
Santpoort,CMS2.1,22.74349241,30.893255,31.4419992,23.5451107
Santpoort,CMS2.2,23.04976476,32.3714761,33.8904551,20.7854006
Santpoort,CMS2.2,23.00325984,32.2378411,33.8428522,20.9893486
Santpoort,CMS2.2,23.60094097,32.6211134,34.0287471,21.3122882
Santpoort,CMS2.3,24.19373278,28.626402,30.54410221,21.3176665
Santpoort,CMS2.3,24.07049689,28.447839,30.54696171,21.1272317
Santpoort,CMS2.3,24.14186066,28.259515,30.46570274,21.068451
Santpoort,CMS3.1,23.81573287,29.130781,32.35469558,22.0973355
Santpoort,CMS3.1,23.66991909,29.081369,32.32155699,21.9914134
Santpoort,CMS3.1,23.71661796,28.950576,32.45414498,21.9704111
Santpoort,CMS3.2,23.9676822,34.522625,33.92536902,28.5262697
Santpoort,CMS3.2,23.93724143,33.827064,34.1792811,28.4244786
Santpoort,CMS3.2,23.96031849,33.679706,34.29871168,28.3903539
Santpoort,CMS3.3,24.12227618,25.782177,30.01579381,20.4265506
Santpoort,CMS3.3,24.2226959,25.733913,30.00441113,20.4373859
Santpoort,CMS3.3,24.26007511,25.802414,30.05271333,20.4994253
Te Outbred,CMEO1.3,24.50722544,34.006362,35.14173026,22.6227747
Te Outbred,CMEO1.3,24.36223024,33.793544,34.70099633,22.6968569
Te Outbred,CMEO1.3,24.04327184,34.048875,34.71407018,22.368971
Te Outbred,CMEO2.1,25.0382656,37.48572,36.82036661,31.312979
Te Outbred,CMEO2.1,24.78767791,37.321825,37.04132209,31.120909
Te Outbred,CMEO2.1,24.84027259,37.048796,36.68643365,31.7306425
Te Outbred,CMEO2.2,25.18022436,38.701573,39.94421349,27.764708
Te Outbred,CMEO2.2,25.23980198,39.998781,39.64479078,27.7583117
Te Outbred,CMEO2.2,25.29948601,39.233145,39.84257735,28.0052012
Te Outbred,CMEO2.3,24.40070577,37.169459,36.20664726,25.7615997
Te Outbred,CMEO2.3,24.1536616,36.949784,36.48410943,25.7698862
Te Outbred,CMEO2.3,24.03647827,37.602121,36.3229485,25.9873263
Te Outbred,CMEO3.1,24.64620093,33.450617,36.79414098,27.9123013
Te Outbred,CMEO3.1,24.97174732,33.378127,37.58442921,27.9728536
Te Outbred,CMEO3.1,24.55189766,33.355353,36.39611958,27.8717142
Te Outbred,CMEO3.2,24.44022018,30.868489,30.79673963,31.0524241
Te Outbred,CMEO3.2,24.40280733,30.864819,30.8008594,31.0688033
Te Outbred,CMEO3.2,24.33219516,30.665299,30.94639224,31.0832727
Te Outbred,CMEO1.1,24.81341667,34.285955,33.17773397,26.6274639
Te Outbred,CMEO1.1,24.31825276,33.821523,32.81140261,26.322067
Te Outbred,CMEO1.1,24.56517801,33.824323,33.41307412,26.5077507
Te Outbred,CMEO3.3,24.15408287,33.996309,35.07081246,29.7553982
Te Outbred,CMEO3.3,24.06050025,33.706165,35.17124839,29.8493689
Te Outbred,CMEO3.3,24.43288004,33.633289,35.34231729,30.0684024
Te Outbred,CMEO1.2,23.97420046,NA,35.41017653,21.9991158
Te Outbred,CMEO1.2,24.02526158,35.548531,36.10989118,21.9225075
Te Outbred,CMEO1.2,24.07333924,36.077354,36.02875096,22.0874703
Tu Outbred,CMUO2.1,24.6953829,32.535634,33.89132427,24.4468568
Tu Outbred,CMUO2.1,24.73105952,32.494064,34.01719219,24.2040834
Tu Outbred,CMUO2.1,24.88679032,32.484989,34.51465102,24.5217082
Tu Outbred,CMUO2.2,24.59564568,37.613162,39.6100693,28.7667557
Tu Outbred,CMUO2.2,24.30780879,36.735401,38.898442,28.612372
Tu Outbred,CMUO2.2,24.37821722,37.331252,39.26634209,28.7719442
Tu Outbred,CMUO2.3,25.18738605,34.38541,36.3896166,25.8550301
Tu Outbred,CMUO2.3,25.05014402,34.173408,35.772364,25.6082474
Tu Outbred,CMUO2.3,24.80297487,33.942837,35.6564358,25.572508
Tu Outbred,CMUO3.1,24.54264957,32.66148,34.37784322,25.6057918
Tu Outbred,CMUO3.1,24.48592345,32.442315,34.03228107,25.4931191
Tu Outbred,CMUO3.1,24.57747008,32.463546,34.0316305,25.5516879
Tu Outbred,CMUO3.2,23.80871001,33.54657,37.29318166,22.6844832
Tu Outbred,CMUO3.2,24.03086053,33.500922,37.274085,22.8750439
Tu Outbred,CMUO3.2,23.80706285,33.394949,37.80228456,22.7140295
Tu Outbred,CMUO1.1,23.51592697,34.451769,33.68304569,24.1534879
Tu Outbred,CMUO1.1,23.75526714,34.853136,33.9322369,24.3835401
Tu Outbred,CMUO1.1,23.7022289,34.82722,33.79260439,24.2874602
Tu Outbred,CMUO3.3,23.52868655,32.757586,31.37748078,22.9889909
Tu Outbred,CMUO3.3,23.52099227,32.888416,31.26232317,22.9824103
Tu Outbred,CMUO3.3,23.81141558,32.92143,31.42970746,23.3228408
Tu Outbred,CMUO1.2,23.86168107,35.171871,34.94884499,24.4369638
Tu Outbred,CMUO1.2,23.87421539,35.019684,34.49655454,24.4335794
Tu Outbred,CMUO1.2,23.98569021,35.456726,34.85135812,24.4192803
Tu Outbred,CMUO1.3,23.77208857,35.935986,36.91968275,25.4243022
Tu Outbred,CMUO1.3,23.67990444,35.044949,37.00780627,25.1980669
Tu Outbred,CMUO1.3,23.76619838,NA,36.90169308,25.1983574
Vicosa,CMV2.2,24.13862749,32.552123,34.90830872,25.9532035
Vicosa,CMV2.2,24.4374808,32.852806,35.26601964,26.3148193
Vicosa,CMV2.2,24.41551221,32.641496,35.2625656,26.1451557
Vicosa,CMV2.3,24.1415098,36.669186,37.23883806,24.2723041
Vicosa,CMV2.3,24.66211454,36.922288,37.19234466,24.8568811
Vicosa,CMV2.3,24.57311184,37.49803,37.10197378,24.7356305
Vicosa,CMV3.1,24.508769,34.639405,36.09065264,26.8214958
Vicosa,CMV3.1,24.89821454,35.070031,36.0751899,27.1372965
Vicosa,CMV3.1,25.14784042,34.889276,36.30855657,27.3459924
Vicosa,CMV3.2,24.78543432,37.457815,38.91205514,29.3015718
Vicosa,CMV3.2,25.20462733,37.925471,40.01078262,29.6384879
Vicosa,CMV3.2,25.10080871,38.639025,40.10668825,29.366215
Vicosa,CMV1.1,24.4868839,33.876411,32.55334934,24.4611485
Vicosa,CMV1.1,24.70438491,33.616153,32.73515087,24.4004324
Vicosa,CMV1.1,24.61910449,33.607185,32.82796573,24.4718524
Vicosa,CMV3.3,23.90321775,31.949779,34.70566987,26.3859414
Vicosa,CMV3.3,23.95973493,32.133861,35.67741606,26.4874334
Vicosa,CMV3.3,23.9370838,32.087064,34.92306448,26.4161038
Vicosa,CMV1.2,23.79311846,33.651835,32.60790805,26.2350078
Vicosa,CMV1.2,23.92477035,33.485857,32.58973312,26.1994592
Vicosa,CMV1.2,24.06982727,33.447877,32.69995575,26.3326823
Vicosa,CMV1.3,23.8316411,34.977546,32.2319705,24.2571535
Vicosa,CMV1.3,24.0389185,35.10498,32.48043678,24.0580896
Vicosa,CMV1.3,24.01629061,34.746081,32.49413469,24.2883496
Vicosa,CMV2.1,24.09278201,34.295666,35.2662197,25.5930814
Vicosa,CMV2.1,24.6163097,34.258128,35.7576846,25.508527
Vicosa,CMV2.1,24.42295823,34.178961,35.07215657,25.566837